start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):0:0x1cc","(3, 3):(0, 0)|(3, 3):1:0x9d",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):0:0x1cd","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):0:0x1ce","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,6
"(3, 3):(0, 0)|(3, 3):0:0x1cf","(35, 22):(0, 0)|(35, 22):12:0x300000b000c120028480000a00180000200000c00000000200001c0006f0101800a0001c80007800a040038e00000001f8e000a040000780001c80000a00f01019c00062000000000000c00002000018000000a00284800c120000b0000300",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1d1","(54, 23):(0, 0)|(54, 23):18:0x800008800003001c49c0621c8194810104cc019060002000000000000000000000000000000000003000006000000000000000000000000000000000000200001800001800000000000000000600000c000000000000000c1c0018000000000001000605000c1b00001200003600002800002000000000000004620018e60068440022c0000640001080000e00000000000000000000030000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1d2","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,12
"(3, 3):(0, 0)|(3, 3):0:0x1d3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,9
"(3, 3):(0, 0)|(3, 3):0:0x1d4","(54, 23):(0, 0)|(54, 23):4:0x20000088000180001c91c02708c04094c0664100304c00008000000000000000000000000000000018000030000000000000000000000000000000000000000000800000c0000300000000000000030000060000000000000001c1800003000000000100000503001b0600240000d80000a0000080000000000000000231000ce300110b0006880013000021000038000000000000000000000060",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1d5","(23, 35):(0, 0)|(23, 35):17:0x8000000c10600001820c00000000000000000000000000001c000001c44000004500000000684101042a0a6032820048024000409481000a0aa0a01f40d817c3804a4038000d58000003c7800000cd98000031b1800003006000003c7800000306000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1d6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,9
