start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 4):(0, 0)|(3, 4):3:0x108","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,1,1,1
"(3, 4):(0, 0)|(3, 4):3:0x109","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,1,1,1
"(3, 4):(0, 0)|(3, 4):3:0x10a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,1,1,1
"(3, 4):(0, 0)|(3, 4):3:0x10b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x10c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,1,1,1
"(3, 4):(0, 0)|(3, 4):3:0x10d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x10e","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,3,4,4,3,5
"(3, 4):(0, 0)|(3, 4):3:0x10f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,4,3,5
"(3, 4):(0, 0)|(3, 4):3:0x118","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,4,3,1
"(3, 4):(0, 0)|(3, 4):3:0x119","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,3,4,4,3,3
"(3, 4):(0, 0)|(3, 4):3:0x11a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,4,3,2
"(3, 4):(0, 0)|(3, 4):3:0x11b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,3,4,4,3,4
"(3, 4):(0, 0)|(3, 4):3:0x11c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,4,3,2
"(3, 4):(0, 0)|(3, 4):3:0x11d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,4,3,3
"(3, 4):(0, 0)|(3, 4):3:0x11e","(22, 54):(0, 0)|(22, 54):4:0x8000000000000700000000000016000000000000080c000000000e6030000000003380000000000048000000000001f000000000000100000000000000000000e1c20007000000190800360000604c600158000181c0180440000000006009000000000280380004000075000000081800a4c00000e060003f000000000000300000000060280000000001808000000000000380",survival,0,3,4,22,54,99
"(3, 4):(0, 0)|(3, 4):3:0x11f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,4,22,54,5
"(3, 4):(0, 0)|(3, 4):3:0x128","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,1
"(3, 4):(0, 0)|(3, 4):3:0x129","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,2
"(3, 4):(0, 0)|(3, 4):3:0x12a","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,3,4,22,54,5
"(3, 4):(0, 0)|(3, 4):3:0x12b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,5
"(3, 4):(0, 0)|(3, 4):3:0x12c","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,4,22,54,3
"(3, 4):(0, 0)|(3, 4):3:0x12d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,5
"(3, 4):(0, 0)|(3, 4):3:0x12e","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,4,22,54,4
"(3, 4):(0, 0)|(3, 4):3:0x12f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,5
"(3, 4):(0, 0)|(3, 4):3:0x138","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,4,22,54,2
"(3, 4):(0, 0)|(3, 4):3:0x139","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,4,22,54,11
"(3, 4):(0, 0)|(3, 4):3:0x13a","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,4,22,54,6
"(3, 4):(0, 0)|(3, 4):3:0x13b","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,3,4,22,54,19
"(3, 4):(0, 0)|(3, 4):3:0x13c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,3
"(3, 4):(0, 0)|(3, 4):3:0x13d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,22,54,16
"(3, 4):(0, 0)|(3, 4):3:0x13e","(23, 10):(0, 0)|(23, 10):8:0x30cc30000000000000000000000000000000000000000000030cc300",stable,0,3,4,23,54,68
"(3, 4):(0, 0)|(3, 4):3:0x13f","(25, 18):(0, 0)|(25, 18):3:0x4000280001000180000000000000000000000000000000000e000000030000c00000000000000000c00030000000000000000000000c0003",survival,0,3,4,25,54,99
"(3, 4):(0, 0)|(3, 4):3:0x149","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,25,54,2
"(3, 4):(0, 0)|(3, 4):3:0x14a","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,4,25,54,3
"(3, 4):(0, 0)|(3, 4):3:0x14b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,4,25,54,4
"(3, 4):(0, 0)|(3, 4):3:0x14c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,25,54,5
"(3, 4):(0, 0)|(3, 4):3:0x14d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,4,25,54,5
