start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(2, 4):(0, 0)|(2, 4):3:0x18","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,1,1,1
"(2, 4):(0, 0)|(2, 4):3:0x19","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,1,1,1
"(2, 4):(0, 0)|(2, 4):3:0x1a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,1,1,1
"(2, 4):(0, 0)|(2, 4):3:0x1b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,4,2,2,2
"(2, 4):(0, 0)|(2, 4):3:0x1c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,2,2,1
"(2, 4):(0, 0)|(2, 4):3:0x1d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,2,2,2
"(2, 4):(0, 0)|(2, 4):3:0x1e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,2,2,5
"(2, 4):(0, 0)|(2, 4):3:0x1f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,2,4,7,7,11
"(2, 4):(0, 0)|(2, 4):2:0x29","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,7,7,1
"(2, 4):(0, 0)|(2, 4):2:0x2b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,2,4,7,7,3
"(2, 4):(0, 0)|(2, 4):2:0x2d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,4,7,7,2
"(2, 4):(0, 0)|(2, 4):2:0x2f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,7,7,3
"(2, 4):(0, 0)|(2, 4):2:0x39","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,4,7,7,2
"(2, 4):(0, 0)|(2, 4):2:0x3a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,2,4,7,7,3
"(2, 4):(0, 0)|(2, 4):2:0x3b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,2,4,7,7,3
"(2, 4):(0, 0)|(2, 4):2:0x3c","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,4,7,7,2
"(2, 4):(0, 0)|(2, 4):2:0x3d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,4,7,7,5
