start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"5,25,0x0","5,25,0x0",extinct,0,5,5,5,5,1
"5,24,0x1","6,36,0x0",extinct,0,5,5,6,6,1
"5,23,0x3","6,36,0x0",extinct,0,5,5,6,6,1
"5,22,0x5","6,36,0x0",extinct,0,5,5,6,6,1
"5,22,0x7","6,26,0xe000",oscilator,2,5,5,7,6,4
"5,21,0x9","6,36,0x0",extinct,0,5,5,6,6,1
"5,21,0xb","6,36,0x0",extinct,0,5,5,6,6,1
"5,21,0xd","6,36,0x0",extinct,0,5,5,6,6,1
"5,21,0xf","6,20,0x312300",stable,0,5,5,7,6,3
"5,20,0x11","7,42,0x0",extinct,0,5,5,6,7,1
"5,20,0x13","7,42,0x0",extinct,0,5,5,6,7,1
"5,20,0x15","7,42,0x0",extinct,0,5,5,6,7,1
"5,20,0x17","7,31,0x38000",oscilator,2,5,5,7,7,4
"5,20,0x19","7,42,0x0",extinct,0,5,5,6,7,1
"5,20,0x1b","7,42,0x0",extinct,0,5,5,6,7,1
"5,20,0x1d","7,29,0xe0000",oscilator,2,5,5,7,7,4
"5,20,0x1f","7,10,0x20e2aeea8e08",spaceship,2,5,5,8,7,5
"5,19,0x21","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x22","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x23","6,21,0x6180",stable,0,5,5,6,6,2
"5,19,0x24","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x25","6,36,0x0",extinct,0,5,5,6,6,2
"5,19,0x26","6,36,0x0",extinct,0,5,5,6,6,2
"5,19,0x27","7,24,0x1848600",stable,0,5,5,7,7,5
"5,19,0x28","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x29","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x2a","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x2b","6,21,0x6180",stable,0,5,5,6,6,2
"5,19,0x2c","6,36,0x0",extinct,0,5,5,6,6,1
"5,19,0x2d","6,36,0x0",extinct,0,5,5,6,6,2
"5,19,0x2e","6,42,0x0",extinct,0,5,5,7,6,5
"5,19,0x2f","7,16,0xe224488e00",spaceship,3,5,5,8,7,7
"5,19,0x30","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x31","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x32","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x33","7,25,0x18300",stable,0,5,5,6,7,2
"5,19,0x34","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x35","7,42,0x0",extinct,0,5,5,6,7,2
"5,19,0x36","7,42,0x0",extinct,0,5,5,6,7,2
