start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"5,19,0x37","8,28,0xc120c00",stable,0,5,5,7,8,5
"5,19,0x38","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x39","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x3a","7,42,0x0",extinct,0,5,5,6,7,1
"5,19,0x3b","7,25,0x18300",stable,0,5,5,6,7,2
"5,19,0x3c","7,29,0xe0000",oscilator,2,5,5,7,7,4
"5,19,0x3d","7,49,0x0",extinct,0,5,5,7,7,4
"5,19,0x3e","7,16,0x1848a0800",stable,0,5,5,7,7,6
"5,19,0x3f","8,20,0xc3c42602000",spaceship,2,5,5,8,8,8
"5,18,0x41","6,36,0x0",extinct,0,5,5,6,6,1
"5,18,0x43","6,21,0x6180",stable,0,5,5,6,6,2
"5,18,0x45","6,36,0x0",extinct,0,5,5,6,6,2
"5,18,0x49","6,36,0x0",extinct,0,5,5,6,6,1
"5,18,0x4d","6,20,0xc300",stable,0,5,5,6,6,2
"5,18,0x51","7,42,0x0",extinct,0,5,5,6,7,1
"5,18,0x55","7,42,0x0",extinct,0,5,5,6,7,2
"5,18,0x59","7,42,0x0",extinct,0,5,5,6,7,1
"5,18,0x5d","7,49,0x0",extinct,0,5,5,7,7,8
"5,18,0x61","6,21,0x6180",stable,0,5,5,6,6,2
"5,18,0x62","6,21,0x6180",stable,0,5,5,6,6,2
"5,18,0x63","6,21,0x6180",stable,0,5,5,6,6,2
"5,18,0x64","6,36,0x0",extinct,0,5,5,6,6,2
"5,18,0x65","6,21,0x6180",stable,0,5,5,6,6,3
"5,18,0x68","6,36,0x0",extinct,0,5,5,6,6,1
"5,18,0x69","6,21,0x6180",stable,0,5,5,6,6,2
"5,18,0x6c","6,20,0xc300",stable,0,5,5,6,6,2
"5,18,0x6d","6,36,0x0",extinct,0,5,5,6,6,5
"5,18,0x70","7,42,0x0",extinct,0,5,5,6,7,1
"5,18,0x71","7,25,0x18300",stable,0,5,5,6,7,2
"5,18,0x74","7,42,0x0",extinct,0,5,5,6,7,2
"5,18,0x75","7,25,0x18300",stable,0,5,5,6,7,3
"5,18,0x78","7,42,0x0",extinct,0,5,5,6,7,1
"5,18,0x79","7,25,0x18300",stable,0,5,5,6,7,2
"5,18,0x7c","7,49,0x0",extinct,0,5,5,7,7,8
"5,18,0x7d","7,10,0x61c2490a00",spaceship,2,5,5,7,7,6
"5,17,0x81","6,36,0x0",extinct,0,5,5,6,6,1
"5,17,0x83","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0x85","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0x87","6,20,0x312300",stable,0,5,5,7,6,4
"5,17,0x89","6,36,0x0",extinct,0,5,5,6,6,1
"5,17,0x8b","6,20,0xc300",stable,0,5,5,6,6,2
"5,17,0x91","7,42,0x0",extinct,0,5,5,6,7,1
"5,17,0x93","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0x99","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0x9b","7,17,0x82850400",stable,0,5,5,7,7,4
"5,17,0xa1","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0xa2","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0xa3","6,21,0x6180",stable,0,5,5,6,6,3
"5,17,0xa4","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0xa5","6,36,0x0",extinct,0,5,5,6,6,1
"5,17,0xa6","6,20,0xc300",stable,0,5,5,6,6,3
"5,17,0xa7","6,42,0x0",extinct,0,5,5,7,6,4
"5,17,0xa8","6,36,0x0",extinct,0,5,5,6,6,1
"5,17,0xa9","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0xaa","6,20,0xc300",stable,0,5,5,6,6,2
"5,17,0xab","6,42,0x0",extinct,0,5,5,7,6,5
"5,17,0xb0","7,42,0x0",extinct,0,5,5,6,7,1
"5,17,0xb1","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0xb2","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0xb3","7,25,0x18300",stable,0,5,5,6,7,3
"5,17,0xb8","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0xb9","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0xba","7,17,0x82850400",stable,0,5,5,7,7,4
"5,17,0xbb","7,31,0x30600",stable,0,5,5,7,7,5
"5,17,0xc1","6,36,0x0",extinct,0,5,5,6,6,2
"5,17,0xc5","6,20,0xc300",stable,0,5,5,6,6,3
"5,17,0xc9","6,20,0xc300",stable,0,5,5,6,6,2
"5,17,0xd1","7,42,0x0",extinct,0,5,5,6,7,2
"5,17,0xd9","7,17,0x82850400",stable,0,5,5,7,7,4
"5,17,0xe1","7,17,0x1848600",stable,0,5,5,6,7,5
"5,17,0xe4","6,14,0x312300",stable,0,5,5,6,6,4
"5,17,0xe5","6,36,0x0",extinct,0,5,5,6,6,4
"5,17,0xe8","6,36,0x0",extinct,0,5,5,6,6,5
"5,17,0xe9","7,3,0x20a2244d8000",spaceship,5,5,5,7,7,8
"5,17,0xf0","7,24,0x38000",oscilator,2,5,5,6,7,4
"5,17,0xf1","8,20,0xc120c00",stable,0,5,5,6,8,5
"5,17,0xf8","7,49,0x0",extinct,0,5,5,7,7,8
"5,17,0xf9","8,13,0x40a0a0000",spaceship,2,5,5,6,8,5
"5,16,0x101","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x103","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x105","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x107","6,42,0x0",extinct,0,5,5,7,6,5
"5,16,0x109","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x10b","6,36,0x0",extinct,0,5,5,6,6,2
"5,16,0x10d","6,19,0x18600",stable,0,5,5,6,6,2
"5,16,0x10f","7,16,0xe224488e00",spaceship,3,5,5,8,7,7
"5,16,0x111","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x113","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x115","7,42,0x0",extinct,0,5,5,6,7,2
"5,16,0x117","7,49,0x0",extinct,0,5,5,7,7,8
"5,16,0x121","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x122","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x123","6,21,0x6180",stable,0,5,5,6,6,2
"5,16,0x124","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x125","6,36,0x0",extinct,0,5,5,6,6,2
"5,16,0x126","6,20,0xc300",stable,0,5,5,6,6,2
"5,16,0x127","7,29,0x364488a08",spaceship,5,5,5,9,7,8
"5,16,0x128","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x129","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x12a","6,36,0x0",extinct,0,5,5,6,6,2
"5,16,0x12b","6,15,0x428a100",stable,0,5,5,7,6,4
"5,16,0x12c","6,19,0x18600",stable,0,5,5,6,6,2
"5,16,0x12d","6,14,0x8514200",stable,0,5,5,7,6,4
"5,16,0x12e","7,29,0x364488a08",spaceship,5,5,5,9,7,8
"5,16,0x12f","8,18,0x244242422400",spaceship,5,5,5,8,8,7
"5,16,0x130","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x131","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x132","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x133","7,25,0x18300",stable,0,5,5,6,7,2
"5,16,0x134","7,42,0x0",extinct,0,5,5,6,7,2
"5,16,0x135","7,42,0x0",extinct,0,5,5,6,7,2
"5,16,0x136","7,17,0x82850400",stable,0,5,5,7,7,4
"5,16,0x137","8,36,0xa0a04",spaceship,2,5,5,7,8,5
"5,16,0x141","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x145","6,20,0xc300",stable,0,5,5,6,6,2
"5,16,0x149","6,36,0x0",extinct,0,5,5,6,6,2
"5,16,0x14d","6,42,0x0",extinct,0,5,5,7,6,5
"5,16,0x151","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x155","7,17,0x82850400",stable,0,5,5,7,7,4
"5,16,0x161","6,21,0x6180",stable,0,5,5,6,6,2
"5,16,0x164","6,20,0xc300",stable,0,5,5,6,6,2
"5,16,0x165","6,36,0x0",extinct,0,5,5,6,6,5
"5,16,0x168","6,36,0x0",extinct,0,5,5,6,6,2
"5,16,0x169","6,15,0x428a100",stable,0,5,5,7,6,4
"5,16,0x16c","6,42,0x0",extinct,0,5,5,7,6,5
"5,16,0x16d","6,19,0x16680",stable,0,5,5,6,6,2
"5,16,0x170","7,42,0x0",extinct,0,5,5,6,7,1
"5,16,0x171","7,25,0x18300",stable,0,5,5,6,7,2
"5,16,0x174","7,17,0x82850400",stable,0,5,5,7,7,4
"5,16,0x175","7,17,0x1830000",stable,0,5,5,6,7,5
"5,16,0x181","6,36,0x0",extinct,0,5,5,6,6,1
"5,16,0x183","6,20,0xc300",stable,0,5,5,6,6,2
"5,16,0x189","6,19,0x18600",stable,0,5,5,6,6,2
"5,16,0x18b","6,36,0x0",extinct,0,5,5,6,6,5
"5,16,0x191","7,42,0x0",extinct,0,5,5,6,7,2
"5,16,0x193","7,17,0x82850400",stable,0,5,5,7,7,4
"5,16,0x1a1","6,36,0x0",extinct,0,5,5,6,6,2
"5,16,0x1a2","6,20,0xc300",stable,0,5,5,6,6,2
"5,16,0x1a3","6,42,0x0",extinct,0,5,5,7,6,5
"5,16,0x1a8","6,19,0x18600",stable,0,5,5,6,6,2
"5,16,0x1a9","6,14,0x8514200",stable,0,5,5,7,6,4
"5,16,0x1aa","6,36,0x0",extinct,0,5,5,6,6,5
"5,16,0x1ab","6,19,0x1a580",stable,0,5,5,6,6,2
"5,16,0x1b0","7,42,0x0",extinct,0,5,5,6,7,2
"5,16,0x1b1","7,42,0x0",extinct,0,5,5,6,7,2
"5,16,0x1b2","7,17,0x82850400",stable,0,5,5,7,7,4
"5,16,0x1b3","7,31,0x30600",stable,0,5,5,7,7,5
"5,16,0x1c1","6,36,0x0",extinct,0,5,5,6,6,5
"5,16,0x1c9","7,3,0x20a2244d8000",spaceship,5,5,5,7,7,8
"5,16,0x1d1","7,10,0x4144450400",spaceship,2,5,5,7,7,5
"5,16,0x1e1","7,9,0xe224488e00",spaceship,3,5,5,7,7,7
"5,16,0x1e8","7,9,0xe224488e00",spaceship,3,5,5,7,7,7
"5,16,0x1e9","8,10,0x244242422400",spaceship,5,5,5,7,8,7
"5,16,0x1f0","7,18,0x41448600",stable,0,5,5,7,7,6
"5,16,0x1f1","8,28,0xe0000",spaceship,2,5,5,6,8,5
"5,15,0x201","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x203","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x205","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x207","7,31,0x38000",oscilator,2,5,5,7,7,4
"5,15,0x209","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x20b","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x20d","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x20f","7,17,0xc2428200",stable,0,5,5,7,7,6
"5,15,0x211","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x213","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x215","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x217","7,49,0x0",extinct,0,5,5,7,7,4
"5,15,0x219","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x21b","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x21d","8,26,0x30483000",stable,0,5,5,7,8,5
"5,15,0x21f","8,18,0x303c42060400",spaceship,2,5,5,8,8,8
"5,15,0x221","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x222","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x223","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x224","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x225","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x226","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x227","8,28,0xc120c00",stable,0,5,5,7,8,5
"5,15,0x228","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x229","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x22a","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x22b","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x22c","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x22d","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x22e","7,17,0x4144450400",spaceship,2,5,5,8,7,5
"5,15,0x22f","8,36,0xe0000",spaceship,2,5,5,7,8,5
"5,15,0x230","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x231","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x232","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x233","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x234","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x235","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x236","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x237","8,20,0xc0a020a0c00",spaceship,2,5,5,8,8,5
"5,15,0x238","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x239","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x23a","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x23b","7,22,0xd9b00",stable,0,5,5,6,7,2
"5,15,0x23c","8,26,0x30483000",stable,0,5,5,7,8,5
"5,15,0x23d","8,18,0x305040503000",spaceship,2,5,5,8,8,5
"5,15,0x23e","8,33,0x700000",spaceship,2,5,5,7,8,5
"5,15,0x23f","9,28,0xaa412a80000",spaceship,2,5,5,8,9,6
"5,15,0x241","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x245","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x249","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x24d","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x251","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x255","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x259","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x25d","8,33,0x505020",spaceship,2,5,5,7,8,5
"5,15,0x261","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x264","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x265","7,25,0x18300",stable,0,5,5,6,7,3
"5,15,0x268","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x269","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x26c","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x26d","7,17,0x1830000",stable,0,5,5,6,7,5
"5,15,0x270","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x271","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x274","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x275","7,18,0x41428200",spaceship,2,5,5,7,7,4
"5,15,0x278","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x279","7,22,0xd9b00",stable,0,5,5,6,7,2
"5,15,0x27c","8,33,0x505020",spaceship,2,5,5,7,8,5
"5,15,0x27d","12,32,0xc014014008010000000000",spaceship,2,5,5,10,12,20
"5,15,0x281","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x283","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x289","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x28b","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x291","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x293","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x299","7,22,0xc1800",stable,0,5,5,6,7,3
"5,15,0x29b","7,30,0x60c00",stable,0,5,5,7,7,5
"5,15,0x2a1","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2a2","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2a3","7,25,0x18300",stable,0,5,5,6,7,3
"5,15,0x2a8","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2a9","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2aa","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x2ab","7,31,0x30600",stable,0,5,5,7,7,5
"5,15,0x2b0","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2b1","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2b2","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2b3","7,18,0x41428200",spaceship,2,5,5,7,7,4
"5,15,0x2b8","7,22,0xc1800",stable,0,5,5,6,7,3
"5,15,0x2b9","7,16,0x1050a0800",spaceship,2,5,5,7,7,4
"5,15,0x2ba","7,30,0x60c00",stable,0,5,5,7,7,5
"5,15,0x2bb","7,23,0xe224488e00",spaceship,3,5,5,9,7,7
"5,15,0x2c1","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2c9","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x2d1","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x2d9","7,30,0x60c00",stable,0,5,5,7,7,5
"5,15,0x2e1","8,20,0xc120c00",stable,0,5,5,6,8,5
"5,15,0x2e8","7,49,0x0",extinct,0,5,5,7,7,8
"5,15,0x2e9","8,13,0x40a0a0000",spaceship,2,5,5,6,8,5
"5,15,0x2f0","7,42,0x0",extinct,0,5,5,6,7,4
"5,15,0x2f1","8,12,0xc0a020a0c00",spaceship,2,5,5,7,8,5
"5,15,0x2f8","7,16,0xa124870c00",spaceship,2,5,5,8,7,6
"5,15,0x2f9","12,40,0x80100280280300000",spaceship,2,5,5,9,12,20
"5,15,0x301","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x303","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x305","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x307","7,49,0x0",extinct,0,5,5,7,7,8
"5,15,0x311","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x313","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x315","7,22,0xc1800",stable,0,5,5,6,7,3
"5,15,0x317","7,9,0xc1c4848a00",spaceship,2,5,5,7,7,6
"5,15,0x321","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x322","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x323","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x324","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x325","7,42,0x0",extinct,0,5,5,6,7,2
"5,15,0x326","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x327","8,36,0xa0a04",spaceship,2,5,5,7,8,5
"5,15,0x330","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x331","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x332","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x333","7,22,0xd9b00",stable,0,5,5,6,7,2
"5,15,0x334","7,22,0xc1800",stable,0,5,5,6,7,3
"5,15,0x335","7,16,0x1050a0800",spaceship,2,5,5,7,7,4
"5,15,0x336","7,16,0x3060000",stable,0,5,5,6,7,5
"5,15,0x337","12,26,0x300280280100080000000000",spaceship,2,5,5,10,12,20
"5,15,0x341","7,42,0x0",extinct,0,5,5,6,7,1
"5,15,0x345","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x351","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x355","7,16,0x3060000",stable,0,5,5,6,7,5
"5,15,0x361","7,25,0x18300",stable,0,5,5,6,7,2
"5,15,0x364","7,17,0x82850400",stable,0,5,5,7,7,4
"5,15,0x365","7,17,0x1830000",stable,0,5,5,6,7,5
"5,15,0x370","7,22,0xc1800",stable,0,5,5,6,7,2
"5,15,0x371","7,22,0xd9b00",stable,0,5,5,6,7,2
"5,15,0x374","7,16,0x3060000",stable,0,5,5,6,7,5
"5,15,0x375","7,9,0xe224488e00",spaceship,3,5,5,7,7,7
"5,15,0x381","7,22,0xe0000",oscilator,2,5,5,6,7,4
"5,15,0x383","7,49,0x0",extinct,0,5,5,7,7,8
"5,15,0x391","8,18,0x30483000",stable,0,5,5,6,8,5
"5,15,0x393","8,10,0x2050500000",spaceship,2,5,5,6,8,5
"5,15,0x3a1","7,42,0x0",extinct,0,5,5,6,7,4
"5,15,0x3a2","7,49,0x0",extinct,0,5,5,7,7,8
"5,15,0x3a3","7,16,0xa242470600",spaceship,2,5,5,8,7,6
"5,15,0x3b0","8,18,0x30483000",stable,0,5,5,6,8,5
"5,15,0x3b1","8,10,0x305040503000",spaceship,2,5,5,7,8,5
"5,15,0x3b2","8,10,0x2050500000",spaceship,2,5,5,6,8,5
"5,15,0x3b3","12,43,0x1000801401400c000",spaceship,2,5,5,9,12,20
"5,15,0x3c1","7,16,0x105090c00",stable,0,5,5,7,7,6
"5,15,0x3d1","8,25,0x700000",spaceship,2,5,5,6,8,5
"5,15,0x3e1","8,10,0x2060423c0c00",spaceship,2,5,5,7,8,8
"5,15,0x3f0","8,13,0x406423c3000",spaceship,2,5,5,7,8,8
"5,15,0x3f1","9,19,0x552095400",spaceship,2,5,5,6,9,6
"5,14,0x401","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x402","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x403","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x404","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x405","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x406","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x407","6,42,0x0",extinct,0,5,5,7,6,3
"5,14,0x408","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x409","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x40a","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x40b","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x40c","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x40d","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x40e","6,14,0x8514200",stable,0,5,5,7,6,5
"5,14,0x40f","6,42,0x0",extinct,0,5,5,7,6,5
"5,14,0x410","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x411","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x412","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x413","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x414","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x415","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x416","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x417","7,49,0x0",extinct,0,5,5,7,7,3
"5,14,0x418","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x419","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x41a","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x41b","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x41c","7,29,0xe0000",oscilator,2,5,5,7,7,4
"5,14,0x41d","7,49,0x0",extinct,0,5,5,7,7,4
"5,14,0x41e","7,49,0x0",extinct,0,5,5,7,7,8
"5,14,0x41f","7,23,0x83c4448e00",spaceship,3,5,5,9,7,6
"5,14,0x421","7,18,0x810200",oscilator,2,5,5,6,7,4
"5,14,0x422","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x423","7,18,0x41428200",spaceship,2,5,5,7,7,4
"5,14,0x424","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x425","7,42,0x0",extinct,0,5,5,6,7,3
"5,14,0x426","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x427","7,18,0x41448600",stable,0,5,5,7,7,4
"5,14,0x428","6,36,0x0",extinct,0,5,5,6,6,1
"5,14,0x429","7,18,0x810200",oscilator,2,5,5,6,7,4
"5,14,0x42a","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x42b","7,18,0x41428200",spaceship,2,5,5,7,7,4
"5,14,0x42c","6,36,0x0",extinct,0,5,5,6,6,2
"5,14,0x42d","7,42,0x0",extinct,0,5,5,6,7,3
"5,14,0x42e","7,17,0x20e2cccf0e00",spaceship,6,5,5,9,7,10
"5,14,0x42f","7,25,0xc18000",stable,0,5,5,7,7,5
"5,14,0x430","7,42,0x0",extinct,0,5,5,6,7,1
"5,14,0x431","8,21,0x4040400",oscilator,2,5,5,6,8,4
"5,14,0x432","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x433","8,21,0x40a0a0400",spaceship,2,5,5,7,8,4
"5,14,0x434","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x435","8,48,0x0",extinct,0,5,5,6,8,3
"5,14,0x436","7,42,0x0",extinct,0,5,5,6,7,2
"5,14,0x437","8,21,0x40a120c00",stable,0,5,5,7,8,4
"5,14,0x438","7,42,0x0",extinct,0,5,5,6,7,1
