start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 5):(0, 0)|(3, 5):4:0x457","(54, 23):(0, 0)|(54, 23):5:0x18000000000000000000000070000210000320004580034220031cc0023100000000000000000400001400006c000090018360030280000200000000030000060e0000000000000001800003000000000000000300000c00000400000000000000000000000000000000000000000030000060000000000000000000000000000000040000c8300209980ca4080c43900e24e00006000044000010",survival,0,5,5,54,23,99
"(3, 5):(0, 0)|(3, 5):4:0x45b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x45d","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,30
"(3, 5):(0, 0)|(3, 5):4:0x45e","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(3, 5):(0, 0)|(3, 5):4:0x473","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x475","(23, 54):(0, 0)|(23, 54):8:0x20000000000000c000000000000581800000000008060000000000000000800000840006060000020d801814000200a6000000001c027000000000980900400000022018078180000280063106000000003118800001b00003c200000100000408000000800000000000088000000000004000000000000160000000000c095000000000302580000000000048000000000001200000000000038",survival,0,5,5,23,54,99
"(3, 5):(0, 0)|(3, 5):4:0x476","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x479","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x47a","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(3, 5):(0, 0)|(3, 5):4:0x47c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x497","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x49b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x49d","(54, 23):(0, 0)|(54, 23):18:0x800008800003001c49c0621c8194810104cc019060002000000000000000000000000000000000003000006000000000000000000000000000000000000200001800001800000000000000000600000c000000000000000c1c0018000000000001000605000c1b00001200003600002800002000000000000004620018e60068440022c0000640001080000e00000000000000000000030000",survival,0,5,5,54,23,99
"(3, 5):(0, 0)|(3, 5):4:0x49e","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,5
"(3, 5):(0, 0)|(3, 5):4:0x4b3","(3, 3):(0, 0)|(3, 3):0:0x11e",spaceship,4,5,5,3,3,5
"(3, 5):(0, 0)|(3, 5):4:0x4b5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x4b6","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x4b9","(21, 54):(0, 0)|(21, 54):8:0x20000000000001c06000000000060180000000000000000000001e000180c00000ca6006060000002a00000400020051000000001c008000000000c8041040600002200806c180000b000e34200000300000608000000000000200000050000000000001200000000000088000000000000b00000000030188000000000c040000000000000900000000000038",survival,0,5,5,21,54,99
"(3, 5):(0, 0)|(3, 5):4:0x4ba","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x4bc","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,15
"(3, 5):(0, 0)|(3, 5):4:0x4d3","(3, 3):(0, 0)|(3, 3):1:0xa7",spaceship,4,5,5,3,3,5
"(3, 5):(0, 0)|(3, 5):4:0x4d5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(3, 5):(0, 0)|(3, 5):4:0x4d6","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x4d9","(7, 10):(0, 0)|(7, 10):7:0x6024052094090180",stable,0,5,5,7,10,17
"(3, 5):(0, 0)|(3, 5):4:0x4da","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(3, 5):(0, 0)|(3, 5):4:0x4dc","(23, 10):(0, 0)|(23, 10):8:0x30cc30000000000000000000000000000000000000000000030cc300",stable,0,5,5,23,10,68
"(3, 5):(0, 0)|(3, 5):4:0x4f1","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(3, 5):(0, 0)|(3, 5):4:0x4f2","(50, 24):(0, 0)|(50, 24):15:0x1000003000004000005e0000346001849001949001946000000000000001000006c00006c0000000000360c00360c000800000000002060002060002000000000000c00000c000000000000000000700000100000200000000000000000000000000000000000000c00000c00000000000000000000000000000000000000001e31003f3ac0583840df24407203802c0200080000",survival,0,5,5,50,24,99
"(3, 5):(0, 0)|(3, 5):4:0x4f4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(3, 5):(0, 0)|(3, 5):4:0x4f8","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,20
"(3, 5):(0, 0)|(3, 5):4:0x517","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x51b","(25, 17):(0, 0)|(25, 17):2:0x40003000040004000000000000000000000000000040002000100030001800000000000000018000c0000000000000000000060003",survival,0,5,5,25,17,99
"(3, 5):(0, 0)|(3, 5):4:0x51d","(51, 25):(0, 0)|(51, 25):19:0x800000b000c0cc0110a10308e0c105b0c098c0402c1400000000000000000000000000000000000000000006000003000000000000000000000000000000000000000000000080000050000030000000000000300000180000000000008000604000302000004000007000304400187700001080000ee00002200000e0000020000000006018004b820025a2000d010000680000350000068000018000",survival,0,5,5,51,25,99
"(3, 5):(0, 0)|(3, 5):4:0x51e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x533","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x535","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x536","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x539","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,20
"(3, 5):(0, 0)|(3, 5):4:0x53a","(25, 17):(0, 0)|(25, 17):2:0x40003000040004000000000000000000000000000040002000100030001800000000000000018000c0000000000000000000060003",survival,0,5,5,25,17,99
"(3, 5):(0, 0)|(3, 5):4:0x53c","(51, 25):(0, 0)|(51, 25):19:0x800000b000c0cc0110a10308e0c105b0c098c0402c1400000000000000000000000000000000000000000006000003000000000000000000000000000000000000000000000080000050000030000000000000300000180000000000008000604000302000004000007000304400187700001080000ee00002200000e0000020000000006018004b820025a2000d010000680000350000068000018000",survival,0,5,5,51,25,99
"(3, 5):(0, 0)|(3, 5):4:0x553","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x555","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,21
"(3, 5):(0, 0)|(3, 5):4:0x556","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,6
"(3, 5):(0, 0)|(3, 5):4:0x559","(25, 17):(0, 0)|(25, 17):2:0x40003000040004000000000000000000000000000040002000100030001800000000000000018000c0000000000000000000060003",survival,0,5,5,25,17,99
"(3, 5):(0, 0)|(3, 5):4:0x55a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x55c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x571","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x572","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(3, 5):(0, 0)|(3, 5):4:0x574","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x578","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(3, 5):(0, 0)|(3, 5):4:0x593","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x595","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x596","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x599","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,21
"(3, 5):(0, 0)|(3, 5):4:0x59a","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,4
"(3, 5):(0, 0)|(3, 5):4:0x59c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(3, 5):(0, 0)|(3, 5):4:0x5b1","(21, 54):(0, 0)|(21, 54):8:0x20000000000001c06000000000060180000000000000000000001e000180c00000ca6006060000002a00000400020051000000001c008000000000c8041040600002200806c180000b000e34200000300000608000000000000200000050000000000001200000000000088000000000000b00000000030188000000000c040000000000000900000000000038",survival,0,5,5,21,54,99
"(3, 5):(0, 0)|(3, 5):4:0x5b2","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x5b4","(3, 3):(0, 0)|(3, 3):2:0x73",spaceship,4,5,5,3,3,5
"(3, 5):(0, 0)|(3, 5):4:0x5b8","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,20
"(3, 5):(0, 0)|(3, 5):4:0x5d1","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,7
"(3, 5):(0, 0)|(3, 5):4:0x5d2","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(3, 5):(0, 0)|(3, 5):4:0x5d4","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x5d8","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x5f0","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x60f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x617","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,14
"(3, 5):(0, 0)|(3, 5):4:0x61b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x61d","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(3, 5):(0, 0)|(3, 5):4:0x61e","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x627","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,4
"(3, 5):(0, 0)|(3, 5):4:0x62b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x62d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x62e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x633","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x635","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x636","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x639","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,20
"(3, 5):(0, 0)|(3, 5):4:0x63a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x63c","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(3, 5):(0, 0)|(3, 5):4:0x647","(54, 23):(0, 0)|(54, 23):5:0x18000000000000000000000070000210000320004580034220031cc0023100000000000000000400001400006c000090018360030280000200000000030000060e0000000000000001800003000000000000000300000c00000400000000000000000000000000000000000000000030000060000000000000000000000000000000040000c8300209980ca4080c43900e24e00006000044000010",survival,0,5,5,54,23,99
"(3, 5):(0, 0)|(3, 5):4:0x64b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x64d","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,21
"(3, 5):(0, 0)|(3, 5):4:0x64e","(34, 37):(0, 0)|(34, 37):34:0xc000000003000000002000001800000000c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000000060000000000000000000000000000000000000000e000000005800000022600000030f1c101828a08281c3060206810c180122a821c0080880000010d0000000c0900000000300000000080000",survival,0,5,5,34,37,99
"(3, 5):(0, 0)|(3, 5):4:0x653","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(3, 5):(0, 0)|(3, 5):4:0x655","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(3, 5):(0, 0)|(3, 5):4:0x656","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,21
"(3, 5):(0, 0)|(3, 5):4:0x659","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x65a","(25, 17):(0, 0)|(25, 17):2:0x40003000040004000000000000000000000000000040002000100030001800000000000000018000c0000000000000000000060003",survival,0,5,5,25,17,99
"(3, 5):(0, 0)|(3, 5):4:0x65c","(34, 37):(0, 0)|(34, 37):34:0xc000000003000000002000001800000000c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000000060000000000000000000000000000000000000000e000000005800000022600000030f1c101828a08281c3060206810c180122a821c0080880000010d0000000c0900000000300000000080000",survival,0,5,5,34,37,99
"(3, 5):(0, 0)|(3, 5):4:0x663","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x665","(23, 54):(0, 0)|(23, 54):8:0x20000000000000c000000000000581800000000008060000000000000000800000840006060000020d801814000200a6000000001c027000000000980900400000022018078180000280063106000000003118800001b00003c200000100000408000000800000000000088000000000004000000000000160000000000c095000000000302580000000000048000000000001200000000000038",survival,0,5,5,23,54,99
"(3, 5):(0, 0)|(3, 5):4:0x666","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x669","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x66a","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(3, 5):(0, 0)|(3, 5):4:0x66c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x671","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x672","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,3
"(3, 5):(0, 0)|(3, 5):4:0x674","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x678","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,19
"(3, 5):(0, 0)|(3, 5):4:0x687","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x68b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x68d","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(3, 5):(0, 0)|(3, 5):4:0x68e","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,9
"(3, 5):(0, 0)|(3, 5):4:0x693","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x695","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x696","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(3, 5):(0, 0)|(3, 5):4:0x699","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(3, 5):(0, 0)|(3, 5):4:0x69a","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,6
"(3, 5):(0, 0)|(3, 5):4:0x69c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(3, 5):(0, 0)|(3, 5):4:0x6a3","(3, 3):(0, 0)|(3, 3):0:0x11e",spaceship,4,5,5,3,3,5
"(3, 5):(0, 0)|(3, 5):4:0x6a5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x6a6","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x6a9","(21, 54):(0, 0)|(21, 54):8:0x20000000000001c06000000000060180000000000000000000001e000180c00000ca6006060000002a00000400020051000000001c008000000000c8041040600002200806c180000b000e34200000300000608000000000000200000050000000000001200000000000088000000000000b00000000030188000000000c040000000000000900000000000038",survival,0,5,5,21,54,99
"(3, 5):(0, 0)|(3, 5):4:0x6aa","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x6ac","(54, 22):(0, 0)|(54, 22):4:0xc000030000180000600000e00002700002c0029400082000398e00022000000000000000000000380000a000048018140060700000000000000302000c0800002000000000180000600000000000000300000a0000200000000000000000000000000000000000000000600001800000000000000000000000000000180001f0000843c0272d80c8e300c618000900003c000030",survival,0,5,5,54,22,99
"(3, 5):(0, 0)|(3, 5):4:0x6b1","(21, 54):(0, 0)|(21, 54):8:0x20000000000001c06000000000060180000000000000000000001e000180c00000ca6006060000002a00000400020051000000001c008000000000c8041040600002200806c180000b000e34200000300000608000000000000200000050000000000001200000000000088000000000000b00000000030188000000000c040000000000000900000000000038",survival,0,5,5,21,54,99
"(3, 5):(0, 0)|(3, 5):4:0x6b2","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x6b4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x6b8","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(3, 5):(0, 0)|(3, 5):4:0x6c3","(3, 3):(0, 0)|(3, 3):1:0xa7",spaceship,4,5,5,3,3,5
"(3, 5):(0, 0)|(3, 5):4:0x6c5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(3, 5):(0, 0)|(3, 5):4:0x6c6","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x6c9","(7, 10):(0, 0)|(7, 10):7:0x6024052094090180",stable,0,5,5,7,10,17
"(3, 5):(0, 0)|(3, 5):4:0x6ca","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(3, 5):(0, 0)|(3, 5):4:0x6cc","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x6d1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(3, 5):(0, 0)|(3, 5):4:0x6d2","(7, 10):(0, 0)|(7, 10):7:0x6024052094090180",stable,0,5,5,7,10,17
"(3, 5):(0, 0)|(3, 5):4:0x6d4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x6d8","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,9
