start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):1:0xbfd8ff","(49, 53):(0, 0)|(49, 53):23:0x318000000000018c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600030000000030001800000000000000000000000000000000c000000018070a00800200a1c0e00a00280380000090012000000003020600000000002800000000000140000000000004000000000000000000000000080000000000004000000000000200000000000000000000000000018000000000000c00000000000000000000000000000000000000000000000000000000000000300000000000018000000000000000000000000000000000000000000000000000000000000000000800c000000000800d00000000060048000011003076c000018a03026400000a0c00104000000361c064000000131180c00000006314000000000000c00000000000040000000",survival,0,5,5,49,53,99
"(5, 5):(0, 0)|(5, 5):1:0xbfd97f","(29, 32):(0, 0)|(29, 32):17:0x58180000c822020208410300e0210188c009010a000a3a0080043800800000008c00000000000000000000000000000000000000180000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020180000c018000060000000",survival,0,5,5,29,32,99
"(5, 5):(0, 0)|(5, 5):1:0xbfd9bf","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,7
"(5, 5):(0, 0)|(5, 5):1:0xbfd9df","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,86
"(5, 5):(0, 0)|(5, 5):1:0xbfd9f7","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):1:0xbfd9fb","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000000000000c0000018340000058c4000011b8000000380c70718001c8a2700010d584000e0280e01980880cc1802a8030000e3800000028000000c018000011b1000002222000002c6800000202000",survival,0,5,5,22,35,99
"(5, 5):(0, 0)|(5, 5):1:0xbfd9fd","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,5
"(5, 5):(0, 0)|(5, 5):1:0xbfd9fe","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,5
"(5, 5):(0, 0)|(5, 5):1:0xbfda7f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(5, 5):(0, 0)|(5, 5):1:0xbfdabf","(22, 22):(0, 0)|(22, 22):6:0x320001b8002298018060091b00184000020000000000000000000000000000000000000000100001a0000680000e00003800000c0002300004000030",survival,0,5,5,22,22,99
