start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 5):(0, 0)|(4, 5):3:0x1ffff","(31, 37):(0, 0)|(31, 37):26:0x1c00000000e000000022c0000000020000000890000000070000000020000000000000001c0000000100000000058000000004000000000000000078000000040000000045000000010a0000000408000000202000000001000000003000c01c0d80060000100000000000003000000502400000280c000001200000000600000000200000000000070000000",survival,0,5,5,31,37,99
"(4, 5):(0, 0)|(4, 5):2:0x2ffff","(9, 9):(0, 0)|(9, 9):1:0xc0903000000010140a02",stable,0,5,5,9,9,41
"(4, 5):(0, 0)|(4, 5):2:0x37fff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,16
"(4, 5):(0, 0)|(4, 5):2:0x3bfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(4, 5):(0, 0)|(4, 5):2:0x3dfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,12
"(4, 5):(0, 0)|(4, 5):2:0x3efff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,12
"(4, 5):(0, 0)|(4, 5):2:0x3f7ff","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,48
"(4, 5):(0, 0)|(4, 5):2:0x3fbff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(4, 5):(0, 0)|(4, 5):2:0x3fdff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(4, 5):(0, 0)|(4, 5):2:0x3feff","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,32
"(4, 5):(0, 0)|(4, 5):2:0x3ff7f","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,32
"(4, 5):(0, 0)|(4, 5):2:0x3ffbf","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,32
"(4, 5):(0, 0)|(4, 5):2:0x3ffdf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(4, 5):(0, 0)|(4, 5):2:0x3ffef","(38, 26):(0, 0)|(38, 26):3:0x1c00000ac00002280000a200001a800001c3000000c00000000000000000000000000001c000000c000423000100100041040000001871c24d00003040400c701000100400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000800000e",survival,0,5,5,38,26,99
"(4, 5):(0, 0)|(4, 5):2:0x3fff7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(4, 5):(0, 0)|(4, 5):2:0x3fffb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(4, 5):(0, 0)|(4, 5):2:0x3fffd","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
