start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):3:0x3fffff","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):2:0x5fffff","(24, 15):(0, 0)|(24, 15):0:0x8001000200000000000000000030009000c080028009000c00000003800000000000000000000000c002400300",oscillator,2,5,5,24,15,82
"(5, 5):(0, 0)|(5, 5):2:0x6fffff","(9, 9):(0, 0)|(9, 9):6:0x6048180000405028080",stable,0,5,5,9,9,41
"(5, 5):(0, 0)|(5, 5):2:0x7bffff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,13
"(5, 5):(0, 0)|(5, 5):2:0x7dffff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,13
"(5, 5):(0, 0)|(5, 5):2:0x7effff","(20, 15):(0, 0)|(20, 15):9:0x4000c380c003800480020001004f008203b80220038002000000000000000000000030006",survival,0,5,5,20,15,99
"(5, 5):(0, 0)|(5, 5):2:0x7f7fff","(37, 13):(0, 0)|(37, 13):7:0x382ec6ae318188844a14d840400600000000000000000000000000e0040010000000000000006003000000000000c00a00e00900880460310070038",survival,0,5,5,37,13,99
"(5, 5):(0, 0)|(5, 5):2:0x7fbfff","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,26
"(5, 5):(0, 0)|(5, 5):2:0x7fdfff","(27, 24):(0, 0)|(27, 24):8:0x800001400003600000a00001d000013000028000000000000000000000000000000000000000000002500005900009400006000000000000000000000000000000000000000000000000000ee0000280",survival,0,5,5,27,24,99
"(5, 5):(0, 0)|(5, 5):2:0x7fefff","(27, 24):(0, 0)|(27, 24):8:0x800001400003600000a00001d000013000028000000000000000000000000000000000000000000002500005900009400006000000000000000000000000000000000000000000000000000ee0000280",survival,0,5,5,27,24,99
"(5, 5):(0, 0)|(5, 5):2:0x7ff7ff","(27, 24):(0, 0)|(27, 24):8:0x800001400003600000a00001d000013000028000000000000000000000000000000000000000000002500005900009400006000000000000000000000000000000000000000000000000000ee0000280",survival,0,5,5,27,24,99
"(5, 5):(0, 0)|(5, 5):2:0x7ffbff","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,20
"(5, 5):(0, 0)|(5, 5):2:0x7ffdff","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,26
"(5, 5):(0, 0)|(5, 5):2:0x7ffeff","(27, 24):(0, 0)|(27, 24):8:0x800001400003600000a00001d000013000028000000000000000000000000000000000000000000002500005900009400006000000000000000000000000000000000000000000000000000ee0000280",survival,0,5,5,27,24,99
