start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(2, 5):(0, 0)|(2, 5):4:0x37","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(2, 5):(0, 0)|(2, 5):4:0x3b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):4:0x3d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(2, 5):(0, 0)|(2, 5):4:0x3e","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,6
"(2, 5):(0, 0)|(2, 5):3:0x57","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(2, 5):(0, 0)|(2, 5):3:0x5b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):3:0x5d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(2, 5):(0, 0)|(2, 5):3:0x73","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):3:0x75","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(2, 5):(0, 0)|(2, 5):3:0x76","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):3:0x79","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):3:0x7a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):3:0x7c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(2, 5):(0, 0)|(2, 5):2:0x97","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(2, 5):(0, 0)|(2, 5):2:0xb3","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(2, 5):(0, 0)|(2, 5):2:0xb5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):2:0xb6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(2, 5):(0, 0)|(2, 5):2:0xb9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):2:0xba","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):2:0xbc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(2, 5):(0, 0)|(2, 5):2:0xd3","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):2:0xd5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(2, 5):(0, 0)|(2, 5):2:0xd9","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):2:0xf1","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(2, 5):(0, 0)|(2, 5):2:0xf2","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(2, 5):(0, 0)|(2, 5):1:0x133","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):1:0x135","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):1:0x136","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):1:0x139","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):1:0x13a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):1:0x153","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):1:0x171","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):1:0x1b1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):0:0x233","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(3, 5):(0, 0)|(3, 5):4:0x417","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x41b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x41d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x41e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(3, 5):(0, 0)|(3, 5):4:0x433","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(3, 5):(0, 0)|(3, 5):4:0x435","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x436","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x439","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(3, 5):(0, 0)|(3, 5):4:0x43a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x43c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(3, 5):(0, 0)|(3, 5):4:0x453","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(3, 5):(0, 0)|(3, 5):4:0x455","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(3, 5):(0, 0)|(3, 5):4:0x456","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x459","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x45a","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,5
"(3, 5):(0, 0)|(3, 5):4:0x45c","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,3
"(3, 5):(0, 0)|(3, 5):4:0x471","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x472","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,3
"(3, 5):(0, 0)|(3, 5):4:0x474","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x478","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(3, 5):(0, 0)|(3, 5):4:0x493","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x495","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x496","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x499","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x49a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x49c","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,4
"(3, 5):(0, 0)|(3, 5):4:0x4b1","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,13
"(3, 5):(0, 0)|(3, 5):4:0x4b2","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x4b4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x4b8","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x4d1","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(3, 5):(0, 0)|(3, 5):4:0x4d2","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,5
"(3, 5):(0, 0)|(3, 5):4:0x4d4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(3, 5):(0, 0)|(3, 5):4:0x4d8","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x4f0","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(3, 5):(0, 0)|(3, 5):4:0x513","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x515","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x516","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x519","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(3, 5):(0, 0)|(3, 5):4:0x51a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(3, 5):(0, 0)|(3, 5):4:0x51c","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(3, 5):(0, 0)|(3, 5):4:0x531","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(3, 5):(0, 0)|(3, 5):4:0x532","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x534","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x538","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(3, 5):(0, 0)|(3, 5):4:0x551","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x552","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,5
"(3, 5):(0, 0)|(3, 5):4:0x554","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x558","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(3, 5):(0, 0)|(3, 5):4:0x570","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(3, 5):(0, 0)|(3, 5):4:0x591","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x592","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(3, 5):(0, 0)|(3, 5):4:0x594","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(3, 5):(0, 0)|(3, 5):4:0x598","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(3, 5):(0, 0)|(3, 5):4:0x5b0","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x607","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x60b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x60d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(3, 5):(0, 0)|(3, 5):4:0x60e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
