start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):2:0x7fffff","(27, 24):(0, 0)|(27, 24):8:0x800001400003600000a00001d000013000028000000000000000000000000000000000000000000002500005900009400006000000000000000000000000000000000000000000000000000ee0000280",survival,0,5,5,27,24,99
"(5, 5):(0, 0)|(5, 5):1:0xbfffff","(7, 9):(0, 0)|(7, 9):0:0x6030000000000603",stable,0,5,5,7,9,25
"(5, 5):(0, 0)|(5, 5):1:0xdfffff","(14, 14):(0, 0)|(14, 14):12:0x8005001400200000000000000000000000018009001800",stable,0,5,5,14,14,57
"(5, 5):(0, 0)|(5, 5):1:0xfdffff","(16, 26):(0, 0)|(16, 26):3:0x1000000e00000040000048000011000186800193000005200022fc0002160000010007018000c00000100000000c000003000000",survival,0,5,5,16,26,99
"(5, 5):(0, 0)|(5, 5):1:0xfeffff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,23
"(5, 5):(0, 0)|(5, 5):1:0xff7fff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,16
"(5, 5):(0, 0)|(5, 5):1:0xfff7ff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,23
"(5, 5):(0, 0)|(5, 5):1:0xfffbff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):1:0xffffdf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,11
"(5, 5):(0, 0)|(5, 5):0:0x13fffff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):0:0x17bffff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,72
"(5, 5):(0, 0)|(5, 5):0:0x17dffff","(3, 3):(0, 0)|(3, 3):1:0xab",stable,0,5,5,3,3,21
"(5, 5):(0, 0)|(5, 5):0:0x17effff","(3, 3):(0, 0)|(3, 3):1:0xab",stable,0,5,5,3,3,21
"(5, 5):(0, 0)|(5, 5):0:0x17f7fff","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,26
"(5, 5):(0, 0)|(5, 5):0:0x17fbfff","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,26
"(5, 5):(0, 0)|(5, 5):0:0x17fdfff","(16, 46):(0, 0)|(16, 46):10:0x20300000000140a000000008848000000014280000000021200000000007000000000000000028003800000023000180001a940808c00614905026402181814080805800c2010200c003000218000000000400000000000e000000",survival,0,5,5,16,46,99
"(5, 5):(0, 0)|(5, 5):0:0x17fefff","(29, 20):(0, 0)|(29, 20):17:0x70000100002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000c0000",survival,0,5,5,29,20,99
"(5, 5):(0, 0)|(5, 5):0:0x17ff7ff","(29, 20):(0, 0)|(29, 20):17:0x70000100002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000c0000",survival,0,5,5,29,20,99
"(5, 5):(0, 0)|(5, 5):0:0x17ffbff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):0:0x17ffeff","(29, 20):(0, 0)|(29, 20):17:0x70000100002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000c0000",survival,0,5,5,29,20,99
"(5, 5):(0, 0)|(5, 5):0:0x17fff7f","(29, 20):(0, 0)|(29, 20):17:0x70000100002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000c0000",survival,0,5,5,29,20,99
"(5, 5):(0, 0)|(5, 5):0:0x17fffbf","(29, 20):(0, 0)|(29, 20):17:0x70000100002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000c0000",survival,0,5,5,29,20,99
"(5, 5):(0, 0)|(5, 5):0:0x17ffffb","(39, 43):(0, 0)|(39, 43):1:0x800000000028000000000300000000000000000000000000000000000000000001c0000000020000000000a0000000001401800000010024000000000bc00000000116000000001a100000060021807000c00330080000001c008f000000000030000000004b000000000d4100300000b0500900000c0b00c00000002000000001c700000000048000000006c000000000360000000000480000000030c00000000120000000036000000001b0000000000480000000071c00000000020000000002c000000000500000000004000000000",survival,0,5,5,39,43,99
"(5, 5):(0, 0)|(5, 5):0:0x1bbffff","(24, 27):(0, 0)|(24, 27):5:0x400000140000028000002000702000000a0404136140821e18104120000020001c044000010000001000000016000067400010480066b001908206363780cf3bc00b00000310000066000004800000600",survival,0,5,5,24,27,99
"(5, 5):(0, 0)|(5, 5):0:0x1bfdfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):0:0x1bffeff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):0:0x1f9ffff","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,17
"(5, 5):(0, 0)|(5, 5):0:0x1fbf7ff","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,12
