start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 4):(0, 0)|(4, 4):1:0x769d","(29, 33):(0, 0)|(29, 33):30:0x700000c0080000600800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000300000000000000000000000000000000000000000000080001c01a0800200d0a0074390e805a100e002c0a0318320300186e0000081f0000",survival,0,4,4,29,33,99
"(4, 4):(0, 0)|(4, 4):1:0x769e","(7, 20):(0, 0)|(7, 20):1:0x60000900008800c480124803f300120000c",survival,0,4,4,7,20,99
"(4, 4):(0, 0)|(4, 4):1:0x769f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,23
"(4, 4):(0, 0)|(4, 4):1:0x76a9","(51, 25):(0, 0)|(51, 25):15:0xe0000088000012000012800000780060120028a90008230006000007000003800004100002a80000000000550c00208600070000018000010600038300000000000000000c00000600000000000006000001800001000000000000000000000000000000000000000000000060000030000000000000000000000000000000000000000000021c0308df82844861044c60c244201d01000ec0000180000",survival,0,4,4,51,25,99
"(4, 4):(0, 0)|(4, 4):1:0x76ab","(18, 25):(0, 0)|(18, 25):11:0x400000200040100048000014000004000000000000000000000000000000000000000000000000000000000000000000000031860018c3",survival,0,4,4,18,25,99
"(4, 4):(0, 0)|(4, 4):1:0x76ad","(29, 33):(0, 0)|(29, 33):30:0x700000c0080000600800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000300000000000000000000000000000000000000000000080001c01a0800200d0a0074390e805a100e002c0a0318320300186e0000081f0000",survival,0,4,4,29,33,99
"(4, 4):(0, 0)|(4, 4):1:0x76af","(16, 39):(0, 0)|(16, 39):12:0xc00000006180000000c00000001400600000ce00c00000c808000000805000000000a00000000300c0000001018010000010006000002000a60e0040000a0000000004000000005800000000c",survival,0,4,4,16,39,99
"(4, 4):(0, 0)|(4, 4):1:0x76b9","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,4,4,4,4,8
"(4, 4):(0, 0)|(4, 4):1:0x76bb","(18, 25):(0, 0)|(18, 25):11:0x400000200040100048000014000004000000000000000000000000000000000000000000000000000000000000000000000031860018c3",survival,0,4,4,18,25,99
"(4, 4):(0, 0)|(4, 4):1:0x76bd","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,23
"(4, 4):(0, 0)|(4, 4):1:0x76be","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,31
"(4, 4):(0, 0)|(4, 4):1:0x76bf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,17
"(4, 4):(0, 0)|(4, 4):1:0x76c9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,11
"(4, 4):(0, 0)|(4, 4):1:0x76cb","(25, 17):(0, 0)|(25, 17):10:0x6000300000000600c7000180180008818400c1800000000300024000c0002000d0004a00400018c00426000280008c0005000100",survival,0,4,4,25,17,99
"(4, 4):(0, 0)|(4, 4):1:0x76cd","(4, 2):(0, 0)|(4, 2):1:0x7e",oscillator,2,4,4,4,2,7
"(4, 4):(0, 0)|(4, 4):1:0x76cf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,15
