start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 5):(0, 0)|(4, 5):0:0xdfdff","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,20
"(4, 5):(0, 0)|(4, 5):0:0xdfeff","(6, 9):(0, 0)|(6, 9):1:0x10545a2a080038",oscillator,2,5,5,6,9,13
"(4, 5):(0, 0)|(4, 5):0:0xf9fff","(33, 23):(0, 0)|(33, 23):9:0x380000d8000324000c48000410000c40000900001c00000000000000000000000000000000000000000000000000000000000000000980002b000050000041d01806d0480ac8602488004600000a580406200e40d00031a0000300000300",survival,0,5,5,33,23,99
"(4, 5):(0, 0)|(4, 5):0:0xfafff","(10, 3):(0, 0)|(10, 3):1:0x15a800ea",stable,0,5,5,10,3,8
"(4, 5):(0, 0)|(4, 5):0:0xfb7ff","(12, 5):(0, 0)|(12, 5):0:0xc6000114a200318",stable,0,5,5,12,5,27
"(4, 5):(0, 0)|(4, 5):0:0xfbeff","(10, 4):(0, 0)|(10, 4):2:0x2530002596",stable,0,5,5,10,4,8
"(4, 5):(0, 0)|(4, 5):0:0xfbf7f","(12, 5):(0, 0)|(12, 5):0:0xc6000114a200318",stable,0,5,5,12,5,27
"(4, 5):(0, 0)|(4, 5):0:0xfbfbf","(12, 5):(0, 0)|(12, 5):0:0xc6000114a200318",stable,0,5,5,12,5,27
"(4, 5):(0, 0)|(4, 5):0:0xfcfff","(44, 40):(0, 0)|(44, 40):13:0x4000000000e000000001500000000110000000062400000008740000001cb80000000bc00000000600000000020018066000701806700070800e6000208006400000800001c000000002200e00000410000000088800000009420000000882000000040200000002080000000190e00000000000000000020000000002000000000200000000000000000018000000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a000000001200000000120000000022000000001400000000080000000",survival,0,5,5,44,40,99
"(4, 5):(0, 0)|(4, 5):0:0xfdf7f","(14, 17):(0, 0)|(14, 17):5:0x18c0129006306000f0006000000000000000018003c0018318025200c60",stable,0,5,5,14,17,48
"(5, 5):(0, 0)|(5, 5):4:0x11ffff","(7, 5):(0, 0)|(7, 5):3:0x8a510318",stable,0,5,5,7,5,91
"(5, 5):(0, 0)|(5, 5):4:0x12ffff","(19, 29):(0, 0)|(19, 29):11:0x8200000a2800004a4000005000002aa8000214200009120030401063818303925a2d246d9136c0418c1002111080e388e38f28429eed0005bb78003d88800088000e000",survival,0,5,5,19,29,99
"(5, 5):(0, 0)|(5, 5):4:0x137fff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,16
"(5, 5):(0, 0)|(5, 5):4:0x13bfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x13dfff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,81
"(5, 5):(0, 0)|(5, 5):4:0x13efff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,81
"(5, 5):(0, 0)|(5, 5):4:0x13f7ff","(8, 7):(0, 0)|(8, 7):5:0x60c0000003060",stable,0,5,5,8,7,19
"(5, 5):(0, 0)|(5, 5):4:0x13fbff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):4:0x13fdff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x13feff","(14, 14):(0, 0)|(14, 14):12:0x8005001400200000000000000000000000018009001800",stable,0,5,5,14,14,57
"(5, 5):(0, 0)|(5, 5):4:0x13ff7f","(14, 14):(0, 0)|(14, 14):12:0x8005001400200000000000000000000000018009001800",stable,0,5,5,14,14,57
"(5, 5):(0, 0)|(5, 5):4:0x13ffbf","(14, 14):(0, 0)|(14, 14):12:0x8005001400200000000000000000000000018009001800",stable,0,5,5,14,14,57
"(5, 5):(0, 0)|(5, 5):4:0x13ffdf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):4:0x13ffef","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):4:0x13fff7","(24, 50):(0, 0)|(24, 50):43:0x180000000000090000000003024000000000c06000000300000002000060c00681c000203001b098000000000036000000000edc0000000e03334000030561f0480000c114b0000000025128048000008d4400c0000020e0000000000000003600000000000400000000000c10600000000304180000000080000000000010800000000004800000000000e00000000000",survival,0,5,5,24,50,99
"(5, 5):(0, 0)|(5, 5):4:0x13fffb","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x13fffd","(5, 11):(0, 0)|(5, 11):0:0x70000000001803",oscillator,2,5,5,5,11,50
"(5, 5):(0, 0)|(5, 5):4:0x13fffe","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,5
"(5, 5):(0, 0)|(5, 5):4:0x14ffff","(53, 24):(0, 0)|(53, 24):1:0x600000c00000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000003000004000000000000000000000000003000003000000000000000000000001c000002000000000018000000600018300013e00011c0000800000600",survival,0,5,5,53,24,99
