start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):3:0x3ff6af","(6, 8):(0, 0)|(6, 8):1:0x40a0a0400303",stable,0,5,5,6,8,8
"(5, 5):(0, 0)|(5, 5):3:0x3ff6b7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff6bb","(5, 8):(0, 0)|(5, 8):1:0x40a0a04303",stable,0,5,5,5,8,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff6bd","(20, 17):(0, 0)|(20, 17):12:0xe000680022000d075402a400020e560342006a2010000300000000001c0016000b0000000000300018",survival,0,5,5,20,17,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff6be","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,10
"(5, 5):(0, 0)|(5, 5):3:0x3ff6cf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3ff6d7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff6db","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff6dd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,13
"(5, 5):(0, 0)|(5, 5):3:0x3ff6de","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff6e7","(35, 32):(0, 0)|(35, 32):5:0x6000000030000000400000000000000000000001b00000028000000220000001c0000001c00000000000000200000002000000010018000080180000a000000ebc0000051a000003000000000000000000000000000000000000000070000000900000009000000120000001300000009c00000046000000320000001c00000000000010000000500000003",survival,0,5,5,35,32,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff6eb","(7, 24):(0, 0)|(7, 24):19:0x1c000000000041e0004100004100000000001c",oscillator,2,5,5,7,24,87
"(5, 5):(0, 0)|(5, 5):3:0x3ff6ed","(27, 35):(0, 0)|(27, 35):6:0x400000001c0000e003c00004000000010000000000000000000080000000000000000000000000000000300180000600300000000000000000000000300c0000091980000147300000110006000040e0c00004000000000000000000700000003600000008c00000012000000028000000070000000",survival,0,5,5,27,35,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff6ee","(28, 32):(0, 0)|(28, 32):10:0x300000005800000008000000340460061422d004224a180424673002580300631000008090000040400000600000000080000001a0020080380507603004810020008e00c00040008002a000000608000003440000009000c0001b00a3101800b32818006030000040001c00000008",survival,0,5,5,28,32,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff6f3","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,31
"(5, 5):(0, 0)|(5, 5):3:0x3ff6f5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,17
"(5, 5):(0, 0)|(5, 5):3:0x3ff6f6","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff6f9","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,97
"(5, 5):(0, 0)|(5, 5):3:0x3ff6fa","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff6fc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,13
"(5, 5):(0, 0)|(5, 5):3:0x3ff71f","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,13
"(5, 5):(0, 0)|(5, 5):3:0x3ff72f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):3:0x3ff737","(32, 35):(0, 0)|(32, 35):32:0xc00000000c00001802000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300000000600000000000000000000000000000000000000000000c00c0000200140000302480400808e1ce02032420a0403602160003c0048b60000061040000002100000000c0000",survival,0,5,5,32,35,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff73b","(5, 8):(0, 0)|(5, 8):1:0x40a0a04303",stable,0,5,5,5,8,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff73d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3ff73e","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,10
"(5, 5):(0, 0)|(5, 5):3:0x3ff74f","(19, 29):(0, 0)|(19, 29):23:0x80000006008000500e000000c80000044000002800003000000186c00000080000020000004400000010000006800001520600069030000900000048000003800000",survival,0,5,5,19,29,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff757","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,24
"(5, 5):(0, 0)|(5, 5):3:0x3ff75b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff75d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,20
"(5, 5):(0, 0)|(5, 5):3:0x3ff75e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff767","(35, 32):(0, 0)|(35, 32):5:0x6000000030000000400000000000000000000001b00000028000000220000001c0000001c00000000000000200000002000000010018000080180000a000000ebc0000051a000003000000000000000000000000000000000000000070000000900000009000000120000001300000009c00000046000000320000001c00000000000010000000500000003",survival,0,5,5,35,32,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff76b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff76d","(12, 10):(0, 0)|(12, 10):2:0x318c9018000000000300c402812030",stable,0,5,5,12,10,30
"(5, 5):(0, 0)|(5, 5):3:0x3ff76e","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff773","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff775","(17, 41):(0, 0)|(17, 41):27:0x30000000001838000000006a0000006033000000300d2000000186a800000080d80000000800000030020000e0180a0000100000000f1000e0000c000000000d2000000002b000000000d0000000003000000000",survival,0,5,5,17,41,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff776","(2, 5):(0, 0)|(2, 5):0:0x37b",stable,0,5,5,2,5,40
"(5, 5):(0, 0)|(5, 5):3:0x3ff779","(4, 10):(0, 0)|(4, 10):1:0x41a89a1900",stable,0,5,5,4,10,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff77a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff77c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff78f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):3:0x3ff797","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,11
"(5, 5):(0, 0)|(5, 5):3:0x3ff79b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff79d","(38, 48):(0, 0)|(38, 48):30:0x200000000000500000000000501c00000000600000000000600000000000400000000000480000000000100000000000201000000000406c00000002206c1000000220001000180640d81000280c00d800000807802000000043c800020000a1b0000400006030000930000000300840000000300c700000000002000000000000030060000000010060000000040000000000000000000000000000000000000000000000000000c00000000000d80000000001180000000001880000000003200000000003e0000000000200000000000100000000000380000000000380000",survival,0,5,5,38,48,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff79e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):3:0x3ff7a7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ab","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ad","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ae","(23, 10):(0, 0)|(23, 10):8:0x30cc30000000000000000000000000000000000000000000030cc300",stable,0,5,5,23,10,69
"(5, 5):(0, 0)|(5, 5):3:0x3ff7b3","(6, 10):(0, 0)|(6, 10):7:0x100a6264650080",stable,0,5,5,6,10,22
"(5, 5):(0, 0)|(5, 5):3:0x3ff7b5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):3:0x3ff7b6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3ff7b9","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ba","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,40
"(5, 5):(0, 0)|(5, 5):3:0x3ff7bc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,39
"(5, 5):(0, 0)|(5, 5):3:0x3ff7c7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):3:0x3ff7cb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(5, 5):(0, 0)|(5, 5):3:0x3ff7cd","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ce","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff7d3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7d5","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff7d6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7d9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7da","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7dc","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7e5","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,21
"(5, 5):(0, 0)|(5, 5):3:0x3ff7e6","(3, 8):(0, 0)|(3, 8):0:0xc6c906",stable,0,5,5,3,8,4
"(5, 5):(0, 0)|(5, 5):3:0x3ff7e9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ea","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ec","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):3:0x3ff7f1","(17, 41):(0, 0)|(17, 41):27:0x30000000001838000000006a0000006033000000300d2000000186a800000080d80000000800000030020000e0180a0000100000000f1000e0000c000000000d2000000002b000000000d0000000003000000000",survival,0,5,5,17,41,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff7f2","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff7f4","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(5, 5):(0, 0)|(5, 5):3:0x3ff87f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):3:0x3ff8bf","(30, 22):(0, 0)|(30, 22):13:0x700001c000081c0a70004a4001000006300038000100000460006c0002490009200001b2802e0200bd8000308000de00c308030f1000784000900001b800000000003000013c0000a0001280000c0000e0",survival,0,5,5,30,22,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff8df","(22, 35):(0, 0)|(22, 35):13:0x10100000058d00000111100000236200000600c0000005000000071c000300550060cc04406601c0501c00086ac200039144e00063838c070000000762000008c6800000b06000000c00000000000000000000000000000c00600001870c00",survival,0,5,5,22,35,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff8ef","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,20
"(5, 5):(0, 0)|(5, 5):3:0x3ff8f7","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,8
"(5, 5):(0, 0)|(5, 5):3:0x3ff8fb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff8fd","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,14
"(5, 5):(0, 0)|(5, 5):3:0x3ff8fe","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff93f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,15
"(5, 5):(0, 0)|(5, 5):3:0x3ff95f","(22, 35):(0, 0)|(22, 35):11:0x46c400001850c000071b1c00006003000000000000000000003000a0018480d580905c1ab07400838e080000a0a00000200200300301801d8000000d480000024800000008e000000e00000000000000000000608300000c10600000020000",survival,0,5,5,22,35,99
"(5, 5):(0, 0)|(5, 5):3:0x3ff96f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff977","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff97b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff97d","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):3:0x3ff97e","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,8
"(5, 5):(0, 0)|(5, 5):3:0x3ff99f","(12, 3):(0, 0)|(12, 3):1:0x750000092",oscillator,2,5,5,12,3,22
"(5, 5):(0, 0)|(5, 5):3:0x3ff9af","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(5, 5):(0, 0)|(5, 5):3:0x3ff9b7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(5, 5):(0, 0)|(5, 5):3:0x3ff9bb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff9bd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff9be","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff9cf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff9d7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9db","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9dd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9de","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ff9e7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9eb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9ed","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9ee","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff9f3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9f5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff9f6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9f9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ff9fa","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(5, 5):(0, 0)|(5, 5):3:0x3ff9fc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):3:0x3ffa3f","(33, 16):(0, 0)|(33, 16):4:0x8001c0026006000dc00c8001c0060006000000000000040014000c0000000000000000000000000000000c000c00000000000000000000000000000000100010001",survival,0,5,5,33,16,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffa5f","(23, 15):(0, 0)|(23, 15):14:0x400082010281849f38a88042040e10234049007c0070000000000030006000000000010009001200100",survival,0,5,5,23,15,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffa6f","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,7
"(5, 5):(0, 0)|(5, 5):3:0x3ffa77","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ffa7b","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,22
"(5, 5):(0, 0)|(5, 5):3:0x3ffa7d","(12, 9):(0, 0)|(12, 9):2:0x380020000001000148440000603",survival,0,5,5,12,9,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffa7e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,29
"(5, 5):(0, 0)|(5, 5):3:0x3ffa9f","(9, 17):(0, 0)|(9, 17):12:0x10000800040000181c7c0000004000200010",oscillator,2,5,5,9,17,60
"(5, 5):(0, 0)|(5, 5):3:0x3ffaaf","(7, 7):(0, 0)|(7, 7):1:0x828504414486",stable,0,5,5,7,7,7
"(5, 5):(0, 0)|(5, 5):3:0x3ffab7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(5, 5):(0, 0)|(5, 5):3:0x3ffabb","(6, 8):(0, 0)|(6, 8):1:0x40a0a0460906",stable,0,5,5,6,8,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffabd","(38, 26):(0, 0)|(38, 26):20:0xe00000d4000051000011400005600030e0000c0000000000000000000000000000000000e08000c02000310800200000082e386000002c9008083002038c0080200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000004000001c00000",survival,0,5,5,38,26,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffabe","(19, 10):(0, 0)|(19, 10):5:0x180803898361504811044140700c000000000000000c030",survival,0,5,5,19,10,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffacf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3ffad7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(5, 5):(0, 0)|(5, 5):3:0x3ffadb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):3:0x3ffadd","(38, 26):(0, 0)|(38, 26):20:0xe00000d4000051000011400005600030e0000c0000000000000000000000000000000000e08000c02000310800200000082e386000002c9008083002038c0080200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000004000001c00000",survival,0,5,5,38,26,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffae7","(14, 33):(0, 0)|(14, 33):27:0x700000007c600003a85000027bb000014d20000096a000008bf00000c0c00000802000004010000018040000008280000002400000042",survival,0,5,5,14,33,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffaeb","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,13
"(5, 5):(0, 0)|(5, 5):3:0x3ffaed","(18, 25):(0, 0)|(18, 25):12:0x31860018c3000000000000000000000000000000000000000000000000000000000000000800000a000009000002008000004000002000",survival,0,5,5,18,25,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffaee","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffaf3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):3:0x3ffaf5","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(5, 5):(0, 0)|(5, 5):3:0x3ffaf6","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(5, 5):(0, 0)|(5, 5):3:0x3ffaf9","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,57
"(5, 5):(0, 0)|(5, 5):3:0x3ffafa","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffafc","(38, 26):(0, 0)|(38, 26):20:0xe00000d4000051000011400005600030e0000c0000000000000000000000000000000000e08000c02000310800200000082e386000002c9008083002038c0080200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000004000001c00000",survival,0,5,5,38,26,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb1f","(9, 17):(0, 0)|(9, 17):12:0x10000800040000181c7c0000004000200010",oscillator,2,5,5,9,17,60
"(5, 5):(0, 0)|(5, 5):3:0x3ffb2f","(14, 20):(0, 0)|(14, 20):4:0xc0000a0000600001800c1400a0c0060000180001407c0c5f100865008200086000440",survival,0,5,5,14,20,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb37","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,13
"(5, 5):(0, 0)|(5, 5):3:0x3ffb3b","(6, 8):(0, 0)|(6, 8):1:0x40a0a0460906",stable,0,5,5,6,8,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffb3d","(10, 23):(0, 0)|(10, 23):0:0x3000006000000000000000018000330000600000000000000001800003",stable,0,5,5,10,23,69
"(5, 5):(0, 0)|(5, 5):3:0x3ffb3e","(19, 10):(0, 0)|(19, 10):5:0x180803898361504811044140700c000000000000000c030",survival,0,5,5,19,10,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb4f","(27, 18):(0, 0)|(27, 18):16:0x30000c00000000000000000000030000c00000000000000000c0003e0000000000000000000000000000000000008000d000000009100008002200",survival,0,5,5,27,18,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb57","(22, 54):(0, 0)|(22, 54):49:0x400000000000038000000000001a0000000000c0400000000003019c000000000007300000000000048000000000003e00000000000020010e1c000000000426000000380018c8180001b00600e0600006a01800000000088050000000002402b80000800070c9400604000003f000181c00000300000000000000501800000000004060000000000700000000000",survival,0,5,5,22,54,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb5b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):3:0x3ffb5d","(10, 23):(0, 0)|(10, 23):0:0x3000006000000000000000018000330000600000000000000001800003",stable,0,5,5,10,23,69
"(5, 5):(0, 0)|(5, 5):3:0x3ffb67","(14, 33):(0, 0)|(14, 33):27:0x700000007c600003a85000027bb000014d20000096a000008bf00000c0c00000802000004010000018040000008280000002400000042",survival,0,5,5,14,33,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb6b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):3:0x3ffb6d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):3:0x3ffb6e","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):3:0x3ffb73","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,22
"(5, 5):(0, 0)|(5, 5):3:0x3ffb75","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ffb76","(17, 18):(0, 0)|(17, 18):12:0x20021919123a5c8611c1c0b08158808800000000000000002000140002000c000500008000",survival,0,5,5,17,18,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb79","(6, 8):(0, 0)|(6, 8):1:0x40a0a0460906",stable,0,5,5,6,8,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffb7a","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffb7c","(10, 23):(0, 0)|(10, 23):0:0x3000006000000000000000018000330000600000000000000001800003",stable,0,5,5,10,23,69
"(5, 5):(0, 0)|(5, 5):3:0x3ffb8f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(5, 5):(0, 0)|(5, 5):3:0x3ffb97","(54, 22):(0, 0)|(54, 22):16:0xc0000f00002400318603238c09cb60210f007c0000600000000000000000000000000000000006000018000000000000000000000000000000000080000280000c0000000000000000180000600000000000800302000c08000000000000181c006050000120000280000e000000000000000000008800e6380208000a500000b00009c00038000180000600000c000030000",survival,0,5,5,54,22,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffb9b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):3:0x3ffb9d","(18, 34):(0, 0)|(18, 34):29:0x600000002c000000018000000070000000282000000c340000000e01000003c210000000800000e02a8000380400000500a00000c06200000010400000042000000100000000380000",survival,0,5,5,18,34,99
"(5, 5):(0, 0)|(5, 5):3:0x3ffba7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(5, 5):(0, 0)|(5, 5):3:0x3ffbab","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):3:0x3ffbad","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):3:0x3ffbae","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
