start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):4:0x1fffff","(34, 25):(0, 0)|(34, 25):1:0x18000018000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001400000a000002",survival,0,5,5,34,25,99
"(5, 5):(0, 0)|(5, 5):3:0x2fffff","(15, 27):(0, 0)|(15, 27):6:0x600300280028086030818404300c001800a00a070c0187000000000080006610cc0d2da58021b08002552000383800007000",survival,0,5,5,15,27,99
"(5, 5):(0, 0)|(5, 5):3:0x37ffff","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,26
"(5, 5):(0, 0)|(5, 5):3:0x3bffff","(24, 15):(0, 0)|(24, 15):0:0x8001000200000000000000000030009000c080028009000c00000003800000000000000000000000c002400300",oscillator,2,5,5,24,15,82
"(5, 5):(0, 0)|(5, 5):3:0x3dffff","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,43
"(5, 5):(0, 0)|(5, 5):3:0x3effff","(37, 39):(0, 0)|(37, 39):6:0x10000000005000000001b000000002400000000900000000090000000012000000001800000000740000000130000000026000000002000000000400001000050000500012000060002400000004300c00000620180000044000000000400000000080000000008000000006000000006c00000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000028000000003",survival,0,5,5,37,39,99
"(5, 5):(0, 0)|(5, 5):3:0x3f7fff","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,29
"(5, 5):(0, 0)|(5, 5):3:0x3fbfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):3:0x3fdfff","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):3:0x3fefff","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):3:0x3ff7ff","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):3:0x3ffbff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3ffdff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):3:0x3ffeff","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):3:0x3fff7f","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):3:0x3fffbf","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,17
"(5, 5):(0, 0)|(5, 5):3:0x3fffdf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):3:0x3fffef","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):3:0x3ffff7","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,20
"(5, 5):(0, 0)|(5, 5):3:0x3ffffb","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):3:0x3ffffd","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,24
"(5, 5):(0, 0)|(5, 5):3:0x3ffffe","(38, 26):(0, 0)|(38, 26):20:0xe00000d4000051000011400005600030e0000c0000000000000000000000000000000000e08000c02000310800200000082e386000002c9008083002038c0080200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000004000001c00000",survival,0,5,5,38,26,99
"(5, 5):(0, 0)|(5, 5):2:0x57ffff","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,26
"(5, 5):(0, 0)|(5, 5):2:0x5bffff","(34, 25):(0, 0)|(34, 25):1:0x18000018000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001400000a000002",survival,0,5,5,34,25,99
