start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(2, 5):(0, 0)|(2, 5):4:0x33","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):4:0x35","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):4:0x36","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):4:0x39","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(2, 5):(0, 0)|(2, 5):4:0x3a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(2, 5):(0, 0)|(2, 5):4:0x3c","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,3
"(2, 5):(0, 0)|(2, 5):3:0x53","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):3:0x55","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):3:0x59","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(2, 5):(0, 0)|(2, 5):3:0x71","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):3:0x72","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(2, 5):(0, 0)|(2, 5):3:0x74","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):2:0x93","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):2:0xb1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):2:0xb2","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):2:0xd1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(2, 5):(0, 0)|(2, 5):1:0x131","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(3, 5):(0, 0)|(3, 5):4:0x413","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x415","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x416","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x419","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(3, 5):(0, 0)|(3, 5):4:0x41a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(3, 5):(0, 0)|(3, 5):4:0x41c","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,3
"(3, 5):(0, 0)|(3, 5):4:0x431","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(3, 5):(0, 0)|(3, 5):4:0x432","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x434","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x438","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(3, 5):(0, 0)|(3, 5):4:0x451","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x452","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x454","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x458","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(3, 5):(0, 0)|(3, 5):4:0x470","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(3, 5):(0, 0)|(3, 5):4:0x491","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(3, 5):(0, 0)|(3, 5):4:0x492","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
